latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,3600,Europe/Berlin,CET

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunshine_duration (s),wind_speed_10m_max (km/h)
2001-01-02,3.5,0.6,2.3,8136.98,15.9
2001-01-03,5.8,1.4,3.3,10834.07,16.6
2001-01-04,3.9,-2.3,1.1,12681.96,16.6
2001-01-05,7.1,2.6,5.0,9068.03,25.2
2001-01-06,9.9,4.3,7.2,0.00,28.7
2001-01-07,6.5,3.4,4.5,13781.88,11.9
2001-01-08,4.5,-0.9,2.2,17740.83,9.4
2001-01-09,4.7,-1.0,2.8,1581.31,19.8
2001-01-10,3.3,1.3,2.6,0.00,14.9
2001-01-11,1.0,-4.4,-1.1,23592.80,14.4
2001-01-12,1.4,-2.8,-0.8,15214.72,12.7
2001-01-13,-0.7,-3.3,-1.7,2689.81,8.2
2001-01-14,-1.3,-2.2,-1.8,0.00,7.3
2001-01-15,0.9,-2.8,-1.6,17348.14,11.7
2001-01-16,0.1,-3.5,-2.0,20788.25,15.6
2001-01-17,0.4,-4.9,-2.8,23693.75,17.0
2001-01-18,0.2,-5.1,-2.5,21892.58,14.2
2001-01-19,1.5,-3.3,-1.3,19930.80,9.8
2001-01-20,1.3,-4.7,-1.9,11396.49,13.5
2001-01-21,1.2,-2.4,-0.9,6542.21,12.1
2001-01-22,0.3,-1.8,-0.5,0.00,20.0
2001-01-23,3.7,0.1,1.8,0.00,17.7
2001-01-24,6.0,1.5,4.2,0.00,25.3
2001-01-25,6.7,-0.1,2.8,25426.22,13.7
2001-01-26,5.3,0.5,2.6,14975.45,14.8
2001-01-27,4.5,-2.2,1.1,14210.01,18.6
2001-01-28,2.8,1.2,1.7,0.00,20.9
2001-01-29,3.9,1.0,1.9,9189.84,12.0
2001-01-30,3.1,-0.5,1.2,15762.28,8.1
2001-01-31,2.6,-0.9,0.6,18769.91,12.1
2001-02-01,1.8,-2.5,-0.4,17753.20,15.2
2001-02-02,-0.4,-4.2,-2.1,27629.70,16.7
2001-02-03,-2.5,-6.3,-4.2,19472.88,18.0
2001-02-04,-3.4,-5.6,-4.6,0.00,24.9
2001-02-05,6.2,-5.7,1.4,0.00,25.8
2001-02-06,10.2,5.2,8.0,159.57,22.9
2001-02-07,10.6,6.3,8.2,745.26,17.0
2001-02-08,13.0,6.1,8.9,10675.80,21.0
2001-02-09,7.9,1.8,4.9,1267.95,16.6
2001-02-10,3.2,-0.2,1.3,15835.35,10.5
2001-02-11,8.1,-0.4,4.0,1075.72,18.2
2001-02-12,11.0,6.4,8.4,0.00,19.7
2001-02-13,7.3,0.7,4.1,0.00,14.6
2001-02-14,6.3,-2.4,1.2,26552.53,11.9
2001-02-15,5.7,-2.8,0.3,26580.92,11.4
2001-02-16,6.3,-2.9,1.1,31527.39,13.5
2001-02-17,5.3,-1.9,2.0,31641.75,16.1
2001-02-18,7.3,-1.6,2.3,15686.26,24.8
2001-02-19,3.4,-2.5,1.2,0.00,21.6
2001-02-20,6.2,1.1,3.8,31151.98,30.9
2001-02-21,7.0,3.1,4.6,21326.96,34.8
2001-02-22,4.8,0.0,2.4,22532.61,32.1
2001-02-23,1.0,-3.3,-0.9,21792.15,17.9
2001-02-24,-1.5,-7.5,-4.1,30583.51,12.2
2001-02-25,1.6,-7.4,-2.9,5439.11,15.8
2001-02-26,2.1,-4.7,-1.8,25600.75,14.9
2001-02-27,2.1,-8.8,-3.0,23354.56,16.7
2001-02-28,4.3,-4.7,-1.1,33839.71,16.6
2001-03-01,5.8,-2.5,0.6,32227.84,10.6
2001-03-02,3.5,-4.0,-0.2,28150.57,17.0
2001-03-03,3.3,-3.7,-0.1,28223.79,19.2
2001-03-04,1.3,-1.0,0.0,0.00,20.5
2001-03-05,3.0,-3.8,-0.1,19415.41,13.7
2001-03-06,4.9,-6.3,-1.5,34512.83,11.6
2001-03-07,7.0,-3.9,1.4,29783.74,18.3
2001-03-08,11.1,2.8,6.0,24808.46,14.5
2001-03-09,12.5,3.8,7.3,16292.68,14.0
2001-03-10,12.8,4.9,8.4,23699.79,14.8
2001-03-11,12.8,6.2,8.9,12020.33,13.9
2001-03-12,13.6,7.6,10.1,11407.02,17.9
2001-03-13,10.7,4.9,7.5,30228.48,18.5
2001-03-14,7.4,3.0,4.9,29881.31,31.6
2001-03-15,7.9,1.2,4.3,20283.55,14.5
2001-03-16,10.0,-0.9,3.8,22850.70,14.2
2001-03-17,4.7,-0.2,2.3,0.00,20.0
2001-03-18,4.1,1.0,2.4,0.00,18.7
2001-03-19,7.8,-0.4,4.6,24235.15,31.9
2001-03-20,1.8,-2.4,-0.5,33597.38,30.4
2001-03-21,2.5,-3.6,-0.7,35671.21,15.7
2001-03-22,2.6,-1.6,0.4,0.00,18.2
2001-03-23,4.0,-0.2,1.7,1680.21,19.4
2001-03-24,2.8,1.0,1.5,0.00,19.4
2001-03-25,1.6,-0.3,0.7,0.00,23.2
2001-03-26,1.7,-3.6,-1.0,38142.69,21.5
2001-03-27,0.1,-6.2,-2.8,23913.38,14.4
2001-03-28,3.1,-9.6,-1.8,39959.16,26.8
2001-03-29,7.2,-0.7,2.8,2215.55,24.2
2001-03-30,8.2,0.7,4.2,3744.31,12.7
2001-03-31,10.4,-0.1,6.2,22193.47,13.8
2001-04-01,14.2,6.0,9.7,28411.89,12.7
2001-04-02,18.3,4.6,11.4,33683.16,11.4
2001-04-03,18.7,5.1,11.1,31848.04,17.6
2001-04-04,18.2,3.1,10.3,27718.41,21.7
2001-04-05,11.4,4.7,8.0,41483.04,28.0
2001-04-06,11.6,4.8,7.7,10977.41,25.7
2001-04-07,12.8,5.4,8.8,15875.79,19.9
2001-04-08,12.8,3.8,8.7,26946.04,11.3
2001-04-09,7.9,3.4,5.8,12468.14,15.0
2001-04-10,12.7,2.5,7.6,13574.09,16.6
2001-04-11,11.9,6.0,8.7,14959.99,15.8
2001-04-12,8.8,1.3,4.8,43638.88,29.3
2001-04-13,6.1,0.1,2.7,38538.23,24.2
2001-04-14,5.4,-1.6,1.9,43012.77,19.3
2001-04-15,4.9,-0.9,2.1,1374.94,17.1
2001-04-16,9.0,1.7,5.3,18545.28,8.4
